date,price
2016-08-08 23:46:24,39458
2016-08-09 03:46:24,40729
2016-08-09 07:46:24,39075
2016-08-09 11:46:16,38947
2016-08-09 15:46:16,40398
2016-08-09 19:46:25,42801
2016-08-09 23:46:25,43621
2016-08-10 03:46:20,38665
2016-08-10 07:46:20,37129
2016-08-10 11:46:25,37416
2016-08-10 15:46:20,40425
2016-08-10 21:06:19,39012
2016-08-11 01:16:23,39071
2016-08-11 05:16:21,39058
2016-08-11 09:16:18,37836
2016-08-11 13:16:18,37610
2016-08-11 17:16:18,38942
2016-08-11 21:26:17,38897
2016-08-12 03:56:23,38226
2016-08-12 07:56:18,38396
2016-08-12 12:06:17,37772
2016-08-12 16:16:17,37308
2016-08-12 20:16:19,37969
2016-08-13 17:41:40,37910
2016-08-13 21:36:12,37112
2016-08-14 02:26:20,37523
2016-08-14 06:26:12,38698
2016-08-14 10:26:16,37368
2016-08-14 14:26:12,36733
2016-08-14 18:26:12,37735
2016-08-14 22:26:12,37038
2016-08-15 02:25:58,37785
2016-08-15 06:26:11,37792
2016-08-15 10:26:11,36826
2016-08-15 15:26:16,37396
2016-08-15 19:26:12,38461
2016-08-15 23:26:12,38233
2016-08-16 03:26:13,37971
2016-08-16 07:26:14,37132
2016-08-16 11:26:14,36745
2016-08-16 15:26:13,37588
2016-08-16 19:26:13,38502
2016-08-16 23:26:16,38885
2016-08-17 03:26:15,38306
2016-08-17 07:26:15,38891
2016-08-17 11:26:18,36129
2016-08-17 15:26:15,37086
2016-08-17 19:26:15,38633
2016-08-17 23:26:18,38953
2016-08-18 03:26:20,37350
2016-08-18 07:26:16,37040
2016-08-18 11:26:17,37070
2016-08-18 15:26:17,38500
2016-08-18 19:26:16,38714
2016-08-18 23:26:17,37978
2016-08-19 03:26:17,37630
2016-08-19 07:26:17,39173
2016-08-19 11:26:16,37042
2016-08-19 15:26:17,36414
2016-08-19 19:26:17,37400
2016-08-19 23:26:21,37876
2016-08-20 03:26:18,36696
2016-08-20 07:26:20,36302
2016-08-20 11:26:20,36242
2016-08-20 15:25:59,36966
2016-08-20 19:26:19,37203
2016-08-20 23:26:20,35990
2016-08-21 03:26:19,36779
2016-08-21 07:26:19,36248
2016-08-21 11:26:19,36475
2016-08-21 15:26:20,36882
2016-08-21 19:26:19,36346
2016-08-21 23:26:21,36516
2016-08-22 03:26:21,36345
2016-08-22 07:26:19,36825
2016-08-22 11:26:21,36095
2016-08-22 15:26:19,36950
2016-08-22 19:26:19,36907
2016-08-22 23:26:19,36333
2016-08-23 03:26:22,36616
2016-08-23 07:26:21,36074
2016-08-23 23:26:19,35760
2016-08-24 14:16:20,38262
2016-08-24 18:36:19,37654
2016-08-25 00:06:19,36299
2016-08-25 15:46:19,36431
2016-08-25 21:52:39,36393
2016-08-26 15:48:50,36605
2016-08-27 17:02:32,35817
2016-08-27 20:55:44,34757
2016-08-28 00:55:45,34838
2016-08-28 04:55:46,35654
2016-08-28 09:05:46,35048
2016-08-28 13:05:42,34658
2016-08-28 17:05:48,35903
2016-08-28 21:05:42,35599
2016-08-29 01:05:49,34950
2016-08-29 05:05:48,37207
2016-08-29 09:05:45,34677
2016-08-29 13:05:43,34245
2016-08-29 17:05:44,36495
2016-08-30 02:25:43,35830
2016-08-30 14:33:12,39455
2016-08-30 18:26:32,40933
2016-08-30 22:26:40,39133
2016-08-31 02:26:32,38037
2016-08-31 06:26:33,37245
